"theme","questioncourte","question","reponse_1","reponse_2","reponse_3","reponse_4","reponse_5","reponse_6","affectation_1","affectation_2","affectation_3","affectation_4","affectation_5","affectation_6"
"Société","Les successions","Comment aborder l'imposition des héritages ?","Réduire la fiscalité d'une majorité des successions et augmenter celle des plus riches","Réduire la fiscalité des successions","Plafonner les successions à un certain montant","Favoriser la transmission d'entreprises","","","Roussel, Jadot, Hidalgo","Macron, Le Pen, Zemmour","Mélenchon","Dupont-Aignan, Pécresse","",""
"International","L'Union européenne","Quelle est la priorité dans nos relations vis-à-vis de l'UE ?","Se dégager des contraintes financières du pacte de stabilité","La remplacer par une Europe ""des travailleurs""","Privilégier le droit national sur le droit européen","Renforcer le rôle de l'UE (défense, diplomatie, politique)","","","Pécresse, Roussel, Hidalgo","Arthaud, Poutou","Le Pen, Lassalle, Mélenchon, Dupont-Aignan, Zemmour","Jadot, Macron","",""
"Société","L'avenir de l'automobile","Qu'imaginez-vous pour l'avenir de l'automobile ?","Diminuer le recours à la voiture","Favoriser l'achat de voitures électriques ou moins polluantes","Interdire à terme la vente des voitures thermiques neuves","Supprimer les contraintes sur les automobilistes","","","Mélenchon, Poutou, Arthaud","Macron, Hidalgo, Roussel, Dupont-Aignan","Jadot, Pécresse","Zemmour","",""
"Société","La promotion de la culture","Quelle est la priorité concernant la promotion de la culture ?","Augmenter le budget du ministère de la culture","Faciliter l'accès à la culture (gratuité, passe, etc.)","Faire porter un projet culturel à chaque école","Augmenter le budget consacré au patrimoine","Défendre les cultures régionales","","Mélenchon, Roussel, Jadot","Macron, Dupont-Aignan, Hidalgo","Pécresse","Zemmour","Poutou",""
"International","Les frontières de l'Europe","Quelle proposition soutenez-vous sur les frontières de l'Europe ?","Renforcer le contrôle aux frontières","Mettre fin aux contrôles aux frontières","Dénoncer les accords restreignant le droit d'asile","","","","Macron, Le Pen, Dupont-Aignan, Pécresse, Zemmour","Mélenchon","Roussel, Jadot","","",""
"Ecologie","Les éoliennes","Quel avenir réserver aux éoliennes ?","Les développer","Stopper tous les projets en cours","Permettre aux riverains de s'y opposer","","","","Mélenchon, Jadot, Macron, Poutou, Hidalgo","Lassalle, Dupont-Aignan, Le Pen, Zemmour","Pécresse","","",""
"Société","Le transport ferroviaire","Quelle priorité s'impose pour le transport ferroviaire ?","Renouveler tout le réseau","Prioriser les petites lignes","Prioriser les trains du quotidien","Baisser les tarifs des billets ou favoriser la gratuité dans certains cas","","","Poutou, Arthaud","Roussel, Zemmour, Hidalgo","Dupont-Aignan, Pécresse","Le Pen, Mélenchon","",""
"Ecologie","La baisse des émissions de CO<sub>2</sub>","Comment faire baisser les émissions de CO<sub>2</sub> ?","Investir dans les énergies renouvelables","Réduire prioritairement les émissions du secteur industriel","Décarboner la consommation des ménages","Interdire les exportations de bois","Investir dans le nucléaire","","Lassalle, Jadot, Mélenchon, Poutou","Hidalgo","Pécresse","Zemmour","Roussel, Macron, Dupont-Aignan, Le Pen",""
"Société","Le rapport entre l'Etat et les religions","Quelle position l'Etat doit-il avoir par rapport aux religions ?","Interdire les signes religieux dans tout l'espace public","Interdire les signes religieux dans les services publics","S'en tenir à la loi de 1905 qui garantit la liberté de conscience et la séparation des cultes d'avec l'Etat","Limiter ou encadrer les financements étrangers","Interdire les financements publics","","Zemmour, Pécresse, Le Pen","Dupont-Aignan","Jadot","Hidalgo, Macron","Mélenchon, Roussel",""
"Ecologie","L'alimentation","Pour améliorer l'alimentation, il faudrait plutôt… ?","Favoriser les circuits courts","Etiqueter l'origine des produits","Interdire les additifs les plus controversés ","Végétaliser l'alimentation","","","Lassalle, Zemmour, Dupont-Aignan, Roussel","Pécresse, Le Pen","Mélenchon","Poutou","",""
